English,AudioFile,Icon,Modality
,blank.wav,aud.png,
tea,tea.wav,blank.png,AudInco
,blank.wav,vis.png,
vacuum,vacuum.wav,blank.png,AudIrre
,blank.wav,x.png,
coffeepot,coffeepot.wav,blank.png,AudNoG
,blank.wav,x.png,
orange,blank.wav,orange.png,VisNoG
,blank.wav,vis.png,
steeringwheel,blank.wav,steeringwheel.png,VisCong
,blank.wav,nose.png,
helmet,blank.wav,helmet.png,VisIrre
,blank.wav,nose.png,
desk,desk.wav,blank.png,AudCong
,blank.wav,aud.png,
washingmachine,blank.wav,washingmachine.png,VisIncon